0_hint,1_hint,2_hint,3_hint,4_hint,5_hint,6_hint,7_hint,8_hint,9_hint,10_hint,11_hint,12_hint,13_hint,14_hint,15_hint,16_hint,17_hint,18_hint,19_hint,20_hint,21_hint,22_hint,23_hint,24_hint
650.392,763.235,757.694,751.392,741.793,706.81,719.874,670.14,656.654,619.956,604.296,587.651,584.149,576.39,567.011,562.12,554.925,536.542,524.294,519.131,513.757,507.622,506.354,497.544,493.637
589.314,699.607,662.482,667.791,678.664,686.489,643.26,598.206,594.23,587.326,584.907,579.829,572.735,563.079,555.363,544.923,523.139,517.475,517.884,506.746,502.592,495.962,491.791,485.952,481.536
593.583,719.366,678.702,632.642,630.064,594.138,588.246,584.34,581.481,574.111,565.908,561.394,570.992,568.768,560.861,548.951,536.015,530.808,526.137,519.145,515.38,510.319,504.772,498.188,493.573
565.968,719.436,709.717,651.039,646.067,638.923,612.332,603.997,624.807,608.819,602.782,581.31,581.144,568.294,570.042,553.759,551.712,546.762,523.393,515.697,512.366,504.251,499.38,495.474,487.897
676.482,789.032,779.191,772.87,751.663,745.368,741.544,734.677,740.531,656.15,659.855,646.044,641.298,637.7,636.588,631.674,618.139,618.213,610.664,605.322,603.014,598.14,586.456,583.615,580.743
575.621,719.848,697.071,697.195,691.821,686.969,678.911,608.514,602.064,596.331,593.849,564.051,557.545,552.988,547.618,541.216,535.681,529.898,524.715,521.033,515.591,509.561,504.79,498.468,493.997
517.167,656.833,646.104,656.983,624.814,621.893,617.66,611.215,603.18,599.548,606.705,558.623,553.358,550.778,540.925,536.251,533.46,525.436,520.997,516.961,507.038,503.398,501.968,492.514,487.256
630.083,738.949,716.248,704.423,680.419,674.572,618.302,608.287,604.298,572.502,567.586,562.428,556.907,552.825,546.853,540.041,535.188,527.312,524.059,518.194,511.718,506.653,504.364,495.921,491
597.426,727.05,722.893,716.72,695.841,688.915,685.469,687.46,663.256,578.394,593.296,568.162,560.823,553.638,544.871,541.567,532.665,528.309,524.075,516.445,512.665,505.622,500.428,496.505,492.699
538.229,631.96,616.736,612.822,608.026,601.542,596.485,587.827,585.294,588.493,584.094,578.24,573.623,543.379,538.169,531.899,526.556,522.201,516.223,509.75,504.855,502.32,495.341,490.04,483.966
588.1,745.219,726.354,693.196,659.783,655.259,618.78,598.684,591.653,596.24,583.517,576.248,595.615,567.122,561.626,574.179,558.143,529.208,522.913,516.387,514.292,508.272,504.005,498.275,493.641
