0_hint,1_hint,2_hint,3_hint,4_hint,5_hint,6_hint,7_hint,8_hint,9_hint,10_hint,11_hint,12_hint,13_hint,14_hint,15_hint,16_hint,17_hint,18_hint,19_hint,20_hint,21_hint,22_hint,23_hint,24_hint
209.056,291.121,292.991,285.8,284.495,280.156,277.945,274.807,273.64,268.69,266.636,263.096,260.706,257.445,254.883,254.072,251.872,248.222,243.311,240.369,239.077,235.292,232.768,229.032,280.395
213.44,293.056,290.334,288.518,287.611,283.882,279.6,277.521,272.014,269.323,266.363,261.879,259.374,255.879,253.946,255.85,246.844,244.346,241.221,238.195,235.904,232.614,231.538,227.166,223.894
208.569,289.573,287.502,284.497,283.725,279.857,276.423,273.621,270.435,270.241,265.594,262.306,259.59,257.208,254.297,251.28,248.352,247.409,242.291,240.253,236.388,234.01,231.124,227.891,224.799
211.046,291.193,289.492,286.175,317.019,289.76,279.178,275.571,272.353,268.878,266.846,265.944,260.673,258.969,255.759,253.227,249.761,247.02,244.761,242.889,237.904,236.444,234.152,230.685,227.609
217.256,296.977,296.38,289.132,288.268,288.532,280.2,278.275,275.538,271.168,269.487,268.995,263.141,262.61,258.706,256.346,252.38,262.218,247.485,242.957,239.606,239.164,233.808,230.971,227.922
211.774,290.031,287.933,284.292,280.675,277.914,276.274,272.802,272.386,267.188,264.339,263.809,260.938,257.261,252.774,250.353,247.305,244.879,241.562,238.592,236.752,288.321,230.323,282.568,278.855
207.048,290.482,288.183,285.09,283.44,279.175,289.675,274.628,270.591,268.241,265.127,262.795,260.48,257.944,254.487,256.451,248.445,245.609,242.876,242.331,239.377,236.954,232.177,228.841,226.206
207.025,291.04,287.908,285.07,284.023,279.47,276.626,273.966,270.715,267.916,265.454,262.018,259.709,257.105,253.985,251.545,248.058,245.196,242.565,239.78,239.142,234.135,232.053,228.89,280.093
210.77,290.754,288.185,284.815,284.613,279.626,276.768,274.11,272.72,271.11,274.889,263.94,262.188,286.469,268.365,254.253,249.904,247.325,244.129,241.582,238.464,235.899,232.526,230.718,229.664
209.689,291.494,289.189,285.626,283.323,280.515,278.089,275.258,275.676,271.985,266.269,262.847,260.893,257.597,256.744,252.235,248.859,246.114,243.385,240.413,237.31,234.337,232.626,228.906,225.843
209.338,289.091,287.994,286.704,282.835,278.449,275.934,273.307,269.875,267.489,267.202,261.865,266.626,263.267,260.348,255.73,252.521,249.742,246.923,245.564,241.238,238.543,236.706,228.875,224.168
209.365,290.004,288.473,284.429,284.656,279.673,276.925,273.975,272.734,276.779,274.588,265.666,259.425,257.179,253.949,254.206,250.296,245.974,243.246,239.904,236.572,234.627,231.402,227.734,224.51
210.659,296.016,290.362,288.098,287.371,282.528,279.727,277.617,273.286,271.516,279.45,309.387,262.818,259.655,256.494,254.145,250.907,250.264,245.263,244.696,239.697,238.322,234.008,232.369,227.976
211.725,293.811,291.103,286.283,285.771,283.03,277.534,275.689,273.471,269.297,277.349,266.463,263.044,274.154,282.63,255.832,251.34,247.221,244.602,241.069,238.333,236.284,233.673,229.998,239.383
209.349,288.489,287.57,283.048,280.643,280.067,275.228,271.933,270.472,266.911,263.88,260.809,257.837,255.608,252.164,249.695,246.323,244.703,241.375,240.004,236.445,232.74,230.668,226.899,223.806
215.387,293.58,290.785,291.334,296.006,289.118,279.716,276.744,273.372,270.58,268.444,265.296,292.073,277.21,261.252,260.445,253.922,247.906,244.189,244.639,238.411,236.611,232.689,229.988,227.033
213.801,295.571,292.306,292.474,286.808,282.25,279.812,276.608,273.919,272.802,272.727,268.201,265.794,266.357,263.254,261.344,251.662,248.641,246.652,245.666,242.903,239.926,237.382,229.636,227.409
209.657,301.95,289.338,289.148,286.003,281.888,279.19,289.043,274.623,269.721,268.386,264.138,262.014,257.983,256.681,254.46,249.134,247.973,248.236,251.871,238.898,235.754,236.746,257.864,232.241
199.454,278.591,275.53,271.642,270.478,268.352,263.505,261.309,258.123,256.088,254.612,250.247,246.922,244.891,241.781,245.859,236.204,232.531,231.152,226.965,224.3,193.488,192.728,192.532,192.493
189.57,273.258,270.958,266.333,265.132,261.128,257.964,254.79,252.515,249.497,246.586,243.526,240.891,237.927,236.074,233.16,230.175,226.941,194.371,193.684,194.255,194.582,195.27,193.931,193.97
162.322,241.003,239.329,234.854,232.466,229.463,227.512,223.692,191.993,208.326,193.457,191.956,192.965,191.914,192.546,191.85,193.143,192,193.095,192.258,191.826,192.221,191.981,192.158,191.758
172.633,253.23,248.597,244.774,243.575,239.285,236.382,234.123,230.831,228.681,225.19,193.095,192.487,192.919,193.129,192.596,192.396,192.66,192.684,192.809,194.099,193.161,193.281,192.629,192.845
171.798,251.105,248.323,245.994,244.624,240.806,237.574,242.082,238.799,235.042,230.728,199.656,198.519,198.688,198.52,198.882,199.441,198.267,198.673,199.151,198.815,199.52,199.128,198.715,198.578
174.744,259.096,255.556,253.27,249.509,246.974,243.932,241.67,238.105,235.879,231.975,198.987,199.141,199.709,199.116,199.005,199.431,199.992,200.102,198.821,198.766,198.841,199.22,199.696,198.88
202.944,286.825,284.75,303.24,276.326,266.723,264.298,261.697,259.085,256.465,268.996,362.777,376.022,386.07,377.21,373.146,371.416,357.293,339.628,250.029,195.286,195.104,194.367,194.617,195.247
150.291,230.559,225.929,194.077,195.314,195.235,195.379,194.155,194.245,194.318,194.684,194.736,193.969,194.255,194.904,194.765,193.948,194.271,194.494,207.466,198.647,196.037,195.964,195.758,194.324
169.988,258.262,248.007,245.523,241.27,239.11,236.588,233.305,229.84,227.956,224.176,193.859,192.283,192.748,192.118,192.441,191.89,191.942,192.719,192.745,192.367,193.006,194.558,192.362,192.069
194.521,274.271,272.832,268.9,268.489,263.633,260.277,258.821,255.111,252.548,249.144,247.768,244.03,243.395,243.423,236.235,234.333,229.671,226.927,194.024,194.477,194.453,195.157,195.626,249.07
183.927,264.553,261.461,259.296,257.276,252.329,249.073,245.916,242.354,240.871,236.557,236.259,233.034,228.488,225.259,192.673,192.642,192.457,192.741,192.759,192.786,192.523,193.075,249.223,247.475
