0_hint,1_hint,2_hint,3_hint,4_hint,5_hint,6_hint,7_hint,8_hint,9_hint,10_hint,11_hint,12_hint,13_hint,14_hint,15_hint,16_hint,17_hint,18_hint,19_hint,20_hint,21_hint,22_hint,23_hint,24_hint
653.696,766.317,766.849,760.537,742.774,714.79,724.656,678.09,667.704,625.566,617.041,599.403,587.537,586.777,579.463,573.033,569.001,539.151,530.28,525.923,522.199,516.602,510.149,508.634,497.882
596.601,691.06,664.811,687.505,671.253,682.241,640.891,597.432,591.378,587.152,580.181,573.878,573.129,562.823,556.949,554.474,524.32,517.62,511.841,506.942,501.057,502.419,492.246,485.7,477.742
589.233,725.994,695.154,628.09,608.872,605.899,594.93,589.384,581.925,581.161,579.189,572.803,580.725,578.514,568.755,578.823,542.391,536.245,527.714,526.781,523.44,515.152,508.895,505.846,491.164
561.595,724.246,718.411,655.36,644.957,642.557,622.751,631.667,608.816,615.458,607.83,584.661,577.489,571.022,575.862,566.39,558.709,555.495,530.781,526.693,521.695,516.13,511.738,506.553,498.248
682.306,790.526,784.031,768.521,748.658,747.132,743.645,731.422,737.645,668.145,657.028,664.932,650.427,646.744,634.428,629.167,627.685,620.431,614.531,608.493,596.625,598.901,590.147,581.647,575.475
580.509,724.196,698.083,708.043,695.255,684.703,679.761,612.25,606.403,603.105,597.99,566.663,556.606,553.431,550.195,541.893,539.528,533.247,531.123,525.044,517.672,515.205,508.833,499.736,494.354
517.109,660.505,663.85,674.413,637.528,634.161,623.835,616.245,626.543,603.916,590.419,570.926,566.191,561.614,555.795,549.715,543.01,538.067,532.762,527.031,522.034,516.276,510.819,507.086,499.14
625.458,744.336,719.278,716.602,687.207,686.093,624.567,618.509,616.97,582.003,575.684,568.884,563.099,557.456,551.332,549.016,543.516,539.897,534.646,527.461,521.554,514.73,510.035,504.425,496.127
592.456,731.474,731.336,721.714,696.454,700.319,690.809,692.001,678.313,632.962,570.167,564.829,561.302,556.782,550.15,544.96,542.972,535.902,532.455,526.757,521.651,512.35,508.425,504.995,496.85
552.451,642.348,632.355,623.291,620.392,614.139,613.059,606.938,599.796,610.947,606.122,590.93,589.417,559.114,545.732,543.061,539.609,539.134,537.075,532.967,520.362,513.977,510.018,506.842,499.294
591.771,750.402,733.262,695.369,666.077,663.812,634.337,603.422,615.259,595.848,585.377,579.293,574.861,571.879,566.146,559.994,567.642,536.356,526.211,523.368,517.623,512.582,507.768,501.57,496.259
588.1,726.898,715.685,709.928,701.519,684.274,618.142,611.472,583.981,580.851,570.718,569.965,564.056,554.57,547.077,545.506,542.331,534.986,524.743,524.028,517.409,512.494,509.505,500.344,494.616
636.116,769.053,762.983,767.583,738.425,728.222,693.52,704.758,683.626,677.561,667.85,664.54,656.993,649.358,643.06,636.782,631.511,625.373,620.188,614.461,609.645,604.177,597.961,593.193,587.669
639.993,704.917,754.358,681.5,678.571,659.182,603.455,680.817,638.914,664.094,574.236,569.376,564.183,559.525,552.465,547.614,543.146,537.252,531.14,530.376,523.587,518.946,508.974,505.031,499.167
586.83,715.687,685.464,654.7,650.077,663.329,639.908,648.182,655.229,611.695,626.941,574.999,570.918,540.948,535.858,531.188,523.507,518.866,514.801,508.356,503.464,498.298,492.946,487.905,479.64
569.234,690.549,687.07,680.399,652.005,658.624,614.701,606.235,601.454,573.732,581.108,562.231,557.124,551.11,545.15,540.882,534.938,529.294,524.456,518.519,514.029,507.511,502.497,496.337,489.445
540.528,688.751,688.511,643.712,636.743,631.656,612.088,606.34,602.341,598.842,566.8,561.153,553.307,550.661,544.648,540.487,533.751,527.703,522.972,517.954,512.387,507.452,503.269,497.067,489.902
578.692,702.872,702.837,644.615,638.761,634.636,630.324,623.748,629.709,598.198,593.477,590.756,582.37,579.273,572.037,548.258,542.47,538.218,530.922,527.227,521.328,517.301,511.023,506.513,498.929
525.389,645.535,642.141,635.81,627.925,577.795,573.35,566.982,559.17,557.245,551.393,546.301,539.671,533.92,528.207,523.938,517.148,512.678,506.993,501.818,495.125,432.075,412.49,412.342,412.15
454.284,597.743,581.565,576.184,570.985,566.895,560.134,555.606,550.258,544.432,538.192,533.577,528.437,523.063,518.123,512.224,506.173,498.996,434.339,434.201,434.373,434.324,434.224,434.092,434
365.36,525.311,520.536,515.331,512.395,508.469,501.769,494.921,433.314,433.552,433.522,433.421,420.417,412.425,413.012,412.411,412.307,412.385,412.463,418.295,433.325,433.561,433.638,433.509,433.525
390.954,527.459,527.91,524.577,516.444,509.88,504.931,498.368,494.135,491.213,480.215,420.392,420.129,420.088,420.077,420.76,420.549,419.994,420.423,419.55,420.035,420.062,420.161,420.287,420.466
409.78,553.304,546.709,536.647,535.94,527.806,523.485,519.262,510.644,509.208,519.353,431.666,431.152,431.387,430.993,431.244,431.535,431.292,431.512,431.356,430.782,431.236,432.012,431.085,431.311
393.181,547.588,541.655,536.855,532.308,527.186,521.04,515.763,512.579,508.373,497.54,434.835,435.067,435.11,435.552,434.936,434.967,434.817,434.929,435.214,435.197,434.857,435.631,435.641,435.158
518.07,593.59,591.955,583.509,577.467,574.792,569.248,564.321,557.778,555.695,546.781,542.475,536.534,531.945,526.265,518.865,516.392,506.841,501.5,494.09,433.137,431.628,433.313,433.176,433.176
351.986,504.182,497.215,435.101,435.141,435.092,435.153,435.163,435.31,435.243,435.252,435.327,435.278,435.238,435.324,435.309,435.37,435.675,435.623,435.63,435.228,435.254,435.424,435.354,435.239
378.718,542.256,535.688,534.005,528.221,523.177,518.045,512.417,507.183,502.127,495.149,433.919,433.924,433.966,498.907,433.5,432.975,422.027,412.245,412.535,412.473,431.071,433.664,433.992,434.416
549.912,661.567,585.975,579.838,576.746,570.453,567.076,561.125,556.444,548.927,544.894,539.393,530.25,527.515,523.452,514.051,509.1,505.253,496.947,433.097,435.969,435.284,436.446,434.284,438.006
415.236,552.446,545.754,540.665,536.946,531.533,528.093,521.106,514.794,511.461,504.595,499.653,493.036,489.49,481.547,420.907,420.443,420.748,420.767,420.927,420.453,421.183,420.696,420.767,420.843
411.896,555.517,552.615,547.494,542.345,536.356,532.791,525.335,520.985,515.729,511.159,504.763,497.999,435.965,435.657,435.265,435.127,435.501,435.472,435.16,435.341,435.556,435.392,435.24,436.12
532.761,653.402,576.329,570.366,565.574,560.193,554.117,549.819,543.365,537.787,532.527,526.621,521.341,519.41,509.729,505.462,497.992,435.5,452.955,435.333,434.806,434.892,436.079,435.362,435.52
352.476,504.66,497.562,435.627,435.707,435.62,435.429,435.499,435.692,435.063,435.019,434.879,435.156,435.111,435.192,435.148,435.07,435.542,435.575,435.36,435.319,434.972,435.23,435.231,435.374
547.165,676.745,664.926,661.666,609.195,579.339,570.191,566.163,564.619,560.932,543.138,537.369,531.26,525.407,520.66,516.26,509.925,506.329,497.808,435.125,435.354,435.875,435.396,435.009,435.125
565.118,698.276,699.54,675.766,645.341,645.764,619.041,551.476,549.567,543.45,536.687,529.659,524.369,523.236,516.479,514.568,504.808,496.749,491.514,487.439,424.916,429.16,424.867,422.512,422.711
505.974,568.221,565.285,559.496,553.473,550.594,546.281,537.786,533.916,526.463,522.263,517.114,509.285,505.211,501.038,494.485,449.284,433.261,429.144,428.343,432.636,430.558,431.832,431.368,428.883
566.998,669.217,666.948,663.234,657.934,651.004,644.329,640.329,625.78,620.618,614.535,609.106,604.035,598.911,591.924,587.053,524.873,525.139,524.334,524.946,524.872,525.109,525.05,525.691,525.047
640.933,787.63,759.299,767.366,684.411,680.65,679.106,664.844,661.861,658,653.709,644.148,644.938,640.344,627.187,609.1,607.75,603.666,598.11,591.179,589.284,578.787,518.152,517.547,512.5
454.187,561.959,555.341,554.996,549.55,543.657,538.482,533.035,527.973,521.89,515.88,510.215,507.076,498.868,434.623,434.874,434.652,434.889,434.787,434.69,434.234,434.433,434.633,550.276,547.526
406.409,552.359,551.645,545.559,539.274,551.625,527.488,522.271,518.638,512.77,507.338,503.147,497.439,489.676,426.967,427.038,427.062,427.321,426.886,426.803,426.967,426.774,427.105,426.938,426.819
505.525,621.31,622.822,619.647,609.065,610.426,587.97,587.215,568.068,558.521,555.318,548.214,539.759,536.474,532.391,527.87,519.412,518.609,511.004,505.572,496.855,434.151,434.308,434.704,436.174
556.922,701.628,652.274,581.501,577.389,571.549,566.48,562.104,556.184,551.526,545.934,539.884,534.888,529.145,523.948,519.251,513.119,506.779,502.644,497.251,489.926,427.32,427.572,426.627,427.068
395.861,547.038,539.068,537.045,531.768,526.068,521.303,516.794,510.937,504.482,496.836,435.393,435.371,435.217,435.146,435.499,435.266,435.094,435.486,435.333,435.346,435.325,435.186,434.725,547.113
424.199,579.226,572.854,584.716,566.344,556.029,552.576,545.513,539.86,534.992,528.928,524.034,517.717,513.131,506.564,501.859,494.443,432.188,432.445,432.134,431.633,431.486,431.571,432.421,432.499
515.909,656.142,657.141,596.123,590.756,580.034,572.232,571.239,562.519,547.827,541.488,535.326,531.855,526.794,518.716,512.268,506.247,502.235,494.567,432.227,434.108,432.074,432.232,432.548,432.001
392.517,536.613,533.797,528.592,525.114,517.616,512.509,508.077,501.132,496.326,432.261,436.402,433.462,431.891,433.743,431.912,431.92,432.168,432.375,432.376,431.913,432.797,432.699,435.959,433.517
503.932,623.902,593.923,586.69,581.995,568.816,585.672,556.178,550.843,548.249,539.498,534.24,530.039,523.318,520.167,512.86,508.083,501.757,496.516,491.016,485.831,422.298,422.855,422.462,421.921
513.045,741.018,653.656,647.198,642.001,633.483,627.864,619.332,621.641,611.347,604.867,600.811,600.713,587.543,582.828,578.26,520.293,518.796,517.294,515.168,514.968,519.774,520.721,518.508,516.668
547.972,713.152,686.329,655.333,600.852,595.523,587.565,583.794,581.531,569.307,567.171,560.839,556.181,525.672,515.761,509.574,506.571,499.48,492.655,491.769,480.519,421.22,422.819,420.261,421.383
440.694,558.414,554.993,548.023,546.917,541.976,533.656,531.233,523.716,518.535,513.491,506.761,503.141,496.737,493.491,486.635,422.402,421.993,422.572,422.349,422.44,422.382,423.064,422.41,422.657
348.973,504.078,497.63,435.307,436.025,435.741,435.318,435.212,435.655,435.429,436.315,435.256,435.113,435.706,435.651,435.367,435.636,435.411,435.431,435.383,435.214,435.119,435.405,452.875,436.008
519.371,588.3,586.49,582.563,575.633,574.654,568.254,563.175,555.689,535.378,532.434,526.039,519.255,514.293,514.629,506.602,497.405,430.829,430.867,430.944,430.876,430.897,430.964,430.918,430.788
407.796,554.975,549.399,545.417,538.095,539.769,530.173,531.748,523.877,518.398,511.749,508.047,495.789,431.54,431.914,432.121,431.716,432.063,431.798,431.611,432.019,431.528,431.597,539.557,540.404
382.866,532.203,525.709,520.956,516.243,513.335,508.194,501.628,495.895,432.368,431.762,431.814,432.266,432.061,431.949,432.014,431.958,432.287,431.727,432.276,432.241,432.251,431.731,431.884,432.225
395.503,545.189,540.337,534.482,528.57,524.809,519.814,514.049,508.668,505.289,494.229,434.928,432.224,432.003,432.067,432.012,432.098,432.236,434.088,435.841,433.143,433.408,435.937,432.081,435.16
512.454,640.718,620.603,616.205,607.852,601.863,604.112,592.229,592.989,580.844,587.344,562.567,558.064,550.277,544.395,537.574,530.575,526.124,521.446,518.203,511.661,507.773,502.555,495.835,489.169
407.037,521.185,517.324,514.114,508.138,503.731,496.938,490.59,483.573,477.695,416.074,416.026,416.277,416.474,416.197,416.189,416.189,417.064,416.309,416.526,416.598,416.099,416.245,416.534,416.545
457.61,604.835,593.111,590.984,587.861,575.052,572.478,568.878,540.026,534.67,530.25,523.326,517.543,514.331,511.101,503.442,496.926,432.105,432.498,431.929,433.533,431.957,432.619,434.942,433.842
429.108,553.986,548.181,542.079,537.095,531.094,527.324,520.75,515.789,510.846,503.941,498.036,435.645,435.619,435.585,436.176,435.76,435.525,435.741,435.714,435.656,435.489,435.736,435.627,435.468
